Age	Passenger Class	Sex	No of Siblings or Spouses on Board	No of Parents or Children on Board	Passenger Fare	Survived
29.9	Third	Female	.0	.0	7.6	No
25.0	Third	Male	.0	.0	7.3	No
29.9	Third	Male	.0	.0	6.9	No
29.9	Third	Female	.0	.0	7.8	Yes
29.9	Third	Male	.0	.0	56.5	Yes
26.0	Third	Female	.0	.0	7.9	Yes
22.0	Third	Female	.0	.0	9.0	Yes
28.0	Third	Male	.0	.0	7.9	No
28.0	Third	Female	.0	.0	7.8	No
29.9	Third	Female	.0	.0	7.8	No
2.0	Third	Female	.0	1.0	12.3	Yes
28.0	Third	Male	.0	.0	22.5	No
27.0	Third	Female	.0	.0	7.9	Yes
42.0	Third	Male	.0	.0	7.7	No
29.9	Third	Male	.0	.0	7.9	Yes
30.0	Third	Male	.0	.0	7.2	No
27.0	Third	Female	1.0	.0	7.9	No
29.9	Third	Male	.0	.0	7.9	No
29.0	Third	Male	.0	.0	7.9	Yes
21.0	Third	Male	.0	.0	7.8	Yes
29.9	Third	Male	.0	.0	7.1	No
20.0	Third	Male	.0	.0	7.9	No
48.0	Third	Male	.0	.0	7.9	No
17.0	Third	Male	1.0	.0	7.1	No
29.9	Third	Female	.0	.0	7.8	Yes
34.0	Third	Male	.0	.0	6.5	No
26.0	Third	Male	.0	.0	7.8	Yes
22.0	Third	Male	.0	.0	7.8	No
33.0	Third	Male	.0	.0	8.7	No
4.0	Third	Male	1.0	1.0	11.1	Yes
1.0	Third	Female	1.0	1.0	11.1	Yes
49.0	Third	Male	.0	.0	.0	No
19.0	Third	Male	.0	.0	.0	No
27.0	Third	Female	.0	2.0	11.1	Yes
29.9	Third	Male	1.0	2.0	23.5	No
29.9	Third	Female	1.0	2.0	23.5	No
29.9	Third	Male	1.0	2.0	23.5	No
32.0	Third	Male	.0	.0	7.9	Yes
27.0	Third	Male	.0	.0	7.9	No
20.0	Third	Female	1.0	.0	9.8	No
21.0	Third	Female	1.0	.0	9.8	No
32.0	Third	Male	.0	.0	7.9	Yes
17.0	Third	Male	.0	.0	7.1	No
21.0	Third	Male	.0	.0	8.4	No
21.0	Third	Male	.0	.0	7.8	Yes
33.0	Third	Male	.0	.0	7.9	No
22.0	Third	Male	.0	.0	7.5	No
4.0	Third	Female	.0	1.0	13.4	Yes
39.0	Third	Male	.0	1.0	13.4	Yes
29.9	Third	Male	.0	.0	7.2	No
18.5	Third	Male	.0	.0	7.2	No
29.9	Third	Male	.0	.0	7.8	No
29.9	Third	Female	.0	.0	7.8	Yes
29.9	Third	Female	.0	.0	7.8	Yes
34.5	Third	Male	.0	.0	7.8	No
29.9	Third	Male	.0	.0	7.8	Yes
29.9	Third	Male	1.0	.0	14.5	No
29.9	Third	Female	1.0	.0	14.5	No
29.9	Third	Male	1.0	.0	7.8	No
29.9	Third	Male	1.0	.0	7.8	No
29.0	Third	Male	3.0	1.0	22.0	Yes
26.0	Third	Female	1.0	1.0	22.0	Yes
1.0	Third	Female	1.0	1.0	12.2	No
18.0	Third	Male	1.0	1.0	7.9	No
36.0	Third	Female	.0	2.0	12.2	No
25.0	Third	Male	.0	.0	7.2	Yes
37.0	Third	Female	.0	.0	9.6	No
29.9	Third	Male	.0	.0	7.9	No
29.9	Third	Male	.0	.0	56.5	Yes
22.0	Third	Female	.0	.0	7.3	Yes
29.9	Third	Male	.0	.0	7.8	No
29.0	Third	Male	.0	.0	9.5	No
29.0	Third	Male	.0	.0	7.8	No
29.9	Third	Male	3.0	1.0	25.5	No
29.9	Third	Female	3.0	1.0	25.5	No
29.9	Third	Female	3.0	1.0	25.5	No
29.9	Third	Female	.0	4.0	25.5	No
32.0	Third	Male	.0	.0	7.9	No
34.5	Third	Male	.0	.0	6.4	No
29.9	Third	Male	1.0	.0	15.5	No
39.0	Third	Male	.0	.0	24.2	No
25.0	Third	Female	.0	.0	7.8	No
36.0	Third	Male	1.0	.0	15.6	No
30.0	Third	Female	1.0	.0	15.6	No
20.0	Third	Male	1.0	.0	7.9	Yes
29.9	Third	Male	.0	.0	7.9	No
28.0	Third	Male	.0	.0	56.5	No
30.0	Third	Male	1.0	.0	16.1	No
26.0	Third	Female	1.0	.0	16.1	No
29.9	Third	Male	.0	.0	7.9	No
20.5	Third	Male	.0	.0	7.3	No
51.0	Third	Male	.0	.0	7.1	No
23.0	Third	Female	.0	.0	7.9	Yes
32.0	Third	Male	.0	.0	7.6	Yes
29.9	Third	Male	.0	.0	7.6	No
29.9	Third	Female	.0	.0	7.8	Yes
24.0	Third	Male	.0	.0	7.1	Yes
22.0	Third	Male	.0	.0	7.1	No
29.9	Third	Female	.0	.0	7.9	No
29.9	Third	Male	.0	.0	7.8	No
29.9	Third	Male	.0	.0	8.1	No
29.0	Third	Male	.0	.0	7.9	No
30.5	Third	Female	.0	.0	7.8	No
29.9	Third	Male	.0	.0	7.2	No
33.0	Third	Male	.0	.0	7.9	No
29.9	Third	Male	.0	.0	7.9	No
29.9	Third	Female	.0	.0	7.8	Yes
29.9	Third	Male	.0	.0	7.8	Yes
29.9	Third	Female	2.0	.0	23.3	Yes
29.9	Third	Female	2.0	.0	23.3	Yes
29.9	Third	Male	2.0	.0	23.3	Yes
29.9	Third	Female	.0	.0	7.8	Yes
29.9	Third	Female	.0	.0	7.9	Yes
15.0	Third	Female	.0	.0	8.0	Yes
35.0	Third	Female	.0	.0	7.8	No
29.9	Third	Male	.0	.0	7.8	No
24.0	Third	Male	1.0	.0	16.1	No
29.9	Third	Female	.0	.0	8.1	No
29.9	Third	Female	.0	.0	8.1	No
29.9	Third	Male	.0	.0	7.8	No
21.0	Third	Male	.0	.0	7.8	Yes
24.0	Third	Male	.0	.0	7.9	No
21.0	Third	Male	.0	.0	7.9	No
29.9	Third	Female	.0	.0	7.9	Yes
6.0	Third	Male	.0	1.0	12.5	Yes
27.0	Third	Female	.0	1.0	12.5	Yes
29.9	Third	Male	.0	.0	8.1	No
29.9	Third	Female	1.0	.0	24.2	Yes
29.9	Third	Male	1.0	.0	24.2	No
29.9	Third	Male	.0	.0	8.5	No
34.0	Third	Male	.0	.0	8.1	No
29.9	Third	Male	.0	.0	7.8	No
29.9	Third	Male	.0	.0	7.8	Yes
29.9	Third	Male	1.0	1.0	15.2	Yes
29.9	Third	Female	.0	.0	7.7	Yes
24.0	Third	Female	.0	.0	7.8	Yes
29.9	Third	Female	1.0	.0	15.5	Yes
29.9	Third	Female	1.0	.0	15.5	Yes
29.9	Third	Female	.0	.0	15.5	Yes
18.0	Third	Male	.0	.0	7.8	No
15.0	Third	Female	.0	.0	7.2	Yes
29.9	Third	Male	.0	.0	7.9	No
29.9	Third	Male	.0	.0	7.2	No
29.9	Third	Female	.0	.0	7.8	No
29.9	Third	Male	.0	.0	7.9	No
12.0	Third	Male	1.0	.0	11.2	Yes
14.0	Third	Female	1.0	.0	11.2	Yes
18.0	Third	Female	.0	.0	7.8	Yes
26.0	Third	Female	.0	.0	7.9	Yes
21.0	Third	Male	.0	.0	7.9	No
41.0	Third	Male	.0	.0	7.1	No
39.0	Third	Male	.0	.0	7.9	Yes
21.0	Third	Male	.0	.0	7.8	No
28.5	Third	Male	.0	.0	7.2	No
22.0	Third	Female	.0	.0	7.8	Yes
61.0	Third	Male	.0	.0	6.2	No
29.9	Third	Female	1.0	.0	15.5	Yes
29.9	Third	Male	.0	.0	7.7	No
29.9	Third	Male	.0	.0	7.8	No
23.0	Third	Male	.0	.0	9.2	No
29.9	Third	Female	.0	.0	7.8	Yes
22.0	Third	Female	.0	.0	7.8	Yes
29.9	Third	Female	.0	.0	7.8	Yes
9.0	Third	Male	.0	1.0	3.2	Yes
28.0	Third	Male	.0	.0	22.5	No
42.0	Third	Male	.0	1.0	8.4	No
31.0	Third	Female	.0	.0	7.9	No
28.0	Third	Male	.0	.0	7.9	No
20.0	Third	Male	.0	.0	9.2	No
23.0	Third	Female	.0	.0	8.7	No
20.0	Third	Male	.0	.0	8.7	No
16.0	Third	Male	.0	.0	9.2	No
31.0	Third	Female	.0	.0	8.7	Yes
29.9	Third	Female	.0	.0	7.6	No
6.0	Third	Male	3.0	1.0	21.1	No
3.0	Third	Female	3.0	1.0	21.1	No
8.0	Third	Female	3.0	1.0	21.1	No
29.0	Third	Female	.0	4.0	21.1	No
1.0	Third	Male	4.0	1.0	39.7	No
2.0	Third	Male	4.0	1.0	39.7	No
16.0	Third	Male	4.0	1.0	39.7	No
14.0	Third	Male	4.0	1.0	39.7	No
41.0	Third	Female	.0	5.0	39.7	No
21.0	Third	Male	.0	.0	8.7	No
32.0	Third	Male	.0	.0	7.9	No
.8	Third	Male	1.0	1.0	13.8	No
26.0	Third	Female	.0	2.0	13.8	No
29.9	Third	Male	.0	.0	7.0	No
29.9	Third	Male	.0	.0	8.1	No
21.0	Third	Male	.0	.0	7.9	No
22.0	Third	Male	.0	.0	7.3	No
25.0	Third	Male	1.0	.0	7.8	Yes
29.9	Third	Male	1.0	1.0	22.4	Yes
29.9	Third	Female	.0	2.0	22.4	Yes
29.9	Third	Female	.0	.0	8.1	No
24.0	Third	Male	.0	.0	8.1	No
28.0	Third	Female	.0	.0	7.9	No
19.0	Third	Male	.0	.0	7.9	No
29.9	Third	Male	.0	.0	7.9	No
25.0	Third	Male	1.0	.0	7.8	No
32.0	Third	Male	.0	.0	8.1	Yes
29.9	Third	Male	.0	.0	7.9	No
17.0	Third	Male	.0	.0	8.7	No
24.0	Third	Male	.0	.0	8.7	No
29.9	Third	Male	.0	.0	7.9	No
29.9	Third	Male	.0	.0	7.2	No
29.9	Third	Male	.0	.0	7.3	No
38.0	Third	Male	.0	.0	7.9	No
21.0	Third	Male	.0	.0	8.1	No
4.0	Third	Male	4.0	1.0	29.1	No
7.0	Third	Male	4.0	1.0	29.1	No
2.0	Third	Male	4.0	1.0	29.1	No
8.0	Third	Male	4.0	1.0	29.1	No
39.0	Third	Female	.0	5.0	29.1	No
35.0	Third	Male	.0	.0	7.1	No
50.0	Third	Male	1.0	.0	14.5	No
29.9	Third	Male	.0	.0	8.1	No
2.0	Third	Female	1.0	1.0	20.2	No
18.0	Third	Male	1.0	1.0	20.2	No
29.9	Third	Male	.0	.0	7.8	Yes
29.9	Third	Male	.0	.0	7.2	No
25.0	Third	Male	.0	.0	7.2	No
29.9	Third	Male	.0	.0	7.2	No
29.9	Third	Male	.0	.0	7.7	No
29.9	Third	Male	.0	.0	7.6	No
29.9	Third	Male	8.0	2.0	69.6	No
14.5	Third	Male	8.0	2.0	69.6	No
29.9	Third	Male	8.0	2.0	69.6	No
29.9	Third	Male	8.0	2.0	69.6	No
29.9	Third	Male	1.0	9.0	69.6	No
24.0	Third	Male	.0	.0	9.3	No
21.0	Third	Female	.0	.0	7.7	Yes
29.9	Third	Male	2.0	.0	21.7	No
29.9	Third	Male	2.0	.0	21.7	No
29.9	Third	Male	2.0	.0	21.7	No
1.0	Third	Female	1.0	1.0	16.7	Yes
24.0	Third	Female	.0	2.0	16.7	Yes
4.0	Third	Female	1.0	1.0	16.7	Yes
25.0	Third	Male	.0	.0	9.5	Yes
20.0	Third	Male	.0	.0	8.1	No
24.5	Third	Male	.0	.0	8.1	No
29.9	Third	Male	.0	.0	15.1	No
29.9	Third	Male	.0	.0	8.1	No
22.0	Third	Male	.0	.0	7.2	No
29.9	Third	Male	.0	.0	8.1	No
18.0	Third	Female	.0	.0	7.5	Yes
9.0	Third	Female	3.0	2.0	27.9	No
2.0	Third	Female	3.0	2.0	27.9	No
40.0	Third	Male	1.0	4.0	27.9	No
45.0	Third	Female	1.0	4.0	27.9	No
29.9	Third	Male	.0	.0	8.1	No
29.9	Third	Female	.0	.0	7.7	Yes
19.0	Third	Male	.0	.0	7.7	No
29.9	Third	Male	.0	.0	8.1	No
29.9	Third	Male	.0	.0	7.9	No
23.0	Third	Female	.0	.0	7.6	Yes
21.0	Third	Male	.0	.0	8.1	No
19.0	Third	Male	.0	.0	7.9	No
22.0	Third	Female	.0	.0	9.8	No
31.0	Third	Male	.0	.0	7.9	Yes
27.0	Third	Male	.0	.0	8.7	No
2.0	Third	Female	.0	1.0	10.5	No
29.0	Third	Female	1.0	1.0	10.5	No
16.0	Third	Male	.0	.0	8.1	Yes
25.0	Third	Male	.0	.0	7.1	No
74.0	Third	Male	.0	.0	7.8	No
24.0	Third	Male	.0	.0	7.8	No
34.0	Third	Male	.0	.0	8.1	No
29.9	Third	Male	1.0	.0	6.4	No
29.9	Third	Male	.0	.0	7.2	No
16.0	Third	Female	1.0	1.0	8.5	Yes
29.9	Third	Male	1.0	.0	16.1	No
32.0	Third	Male	.0	.0	7.9	No
29.9	Third	Male	.0	.0	7.9	No
29.9	Third	Male	.0	.0	7.2	No
9.0	Third	Female	1.0	1.0	15.2	Yes
36.0	Third	Male	.0	.0	7.9	No
18.0	Third	Female	.0	.0	9.8	Yes
63.0	Third	Female	.0	.0	9.6	Yes
40.5	Third	Male	.0	2.0	14.5	No
36.0	Third	Male	1.0	1.0	24.2	No
33.0	Third	Male	.0	.0	9.5	No
28.0	Third	Male	.0	.0	9.5	No
28.0	Third	Male	.0	.0	9.5	No
18.0	Third	Female	2.0	.0	18.0	No
31.0	Third	Male	3.0	.0	18.0	No
16.0	Third	Male	2.0	.0	18.0	No
22.0	Third	Male	.0	.0	7.2	Yes
20.0	Third	Male	.0	.0	7.9	No
14.0	Third	Female	.0	.0	7.9	No
22.0	Third	Male	.0	.0	7.9	No
22.0	Third	Male	.0	.0	9.0	No
29.9	Third	Male	.0	.0	8.1	No
29.9	Third	Male	.0	.0	8.1	No
32.5	Third	Male	.0	.0	9.5	No
38.0	Third	Female	.0	.0	7.2	Yes
51.0	Third	Male	.0	.0	7.8	No
21.0	Third	Male	1.0	.0	6.5	No
47.0	Third	Female	1.0	.0	7.0	Yes
29.9	Third	Male	.0	.0	8.7	No
29.9	Third	Male	.0	.0	7.6	No
29.9	Third	Male	.0	.0	8.1	No
21.0	Third	Male	.0	.0	7.3	No
27.0	Third	Male	.0	.0	8.7	No
29.9	Third	Male	.0	.0	7.3	No
36.0	Third	Male	.0	.0	9.5	No
27.0	Third	Male	1.0	.0	14.5	No
15.0	Third	Female	1.0	.0	14.5	Yes
45.5	Third	Male	.0	.0	7.2	No
29.9	Third	Male	.0	.0	7.2	No
29.9	Third	Male	.0	.0	14.5	No
14.5	Third	Female	1.0	.0	14.5	No
26.5	Third	Male	.0	.0	7.2	No
27.0	Third	Male	.0	.0	7.2	No
